sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,0_10,"[0,10)",1,15,4012,44954,-28200.403924
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,0_10,"[0,10)",2,15,4012,44954,23982.1893884
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,0_10,"[0,10)",3,15,4012,44954,-20128.7994191
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,10_15,"[10,15)",1,15,35183,962226,-649983.870933
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,10_15,"[10,15)",2,15,35183,962226,528522.92822
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,10_15,"[10,15)",3,15,35183,962226,-425675.854366
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,15_20,"[15,20)",1,15,80904,3837762,-2501714.55018
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,15_20,"[15,20)",2,15,80904,3837762,1961369.9422
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,15_20,"[15,20)",3,15,80904,3837762,-1520166.16899
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,20_25,"[20,25)",1,15,85175,6161166,-3645070.12941
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,20_25,"[20,25)",2,15,85175,6161166,2666867.65483
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,20_25,"[20,25)",3,15,85175,6161166,-1908928.25595
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,25_30,"[25,30)",1,15,58790,5824330,-2959806.02982
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,25_30,"[25,30)",2,15,58790,5824330,1955876.86541
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,25_30,"[25,30)",3,15,58790,5824330,-1238515.23769
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,30_35,"[30,35)",1,15,30374,3927440,-1671243.84768
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,30_35,"[30,35)",2,15,30374,3927440,973288.294672
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,30_35,"[30,35)",3,15,30374,3927440,-527808.999016
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,35_40,"[35,40)",1,15,12457,1988906,-696554.577922
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,35_40,"[35,40)",2,15,12457,1988906,345189.603502
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,35_40,"[35,40)",3,15,12457,1988906,-153599.674314
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,40_999,"[40,inf)",1,15,5605,1117414,-297803.364538
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,40_999,"[40,inf)",2,15,5605,1117414,116228.334158
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,standard,40_999,"[40,inf)",3,15,5605,1117414,-48589.2883258
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,0_10,"[0,10)",1,15,4012,24008,-4800.15539975
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,0_10,"[0,10)",2,15,4012,24008,2115.9553779
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,0_10,"[0,10)",3,15,4012,24008,-696.183720422
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,10_15,"[10,15)",1,15,35183,485996,-108123.821496
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,10_15,"[10,15)",2,15,35183,485996,51010.4842433
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,10_15,"[10,15)",3,15,35183,485996,-23195.9244659
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,15_20,"[15,20)",1,15,80904,2250074,-546431.67582
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,15_20,"[15,20)",2,15,80904,2250074,269150.695572
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,15_20,"[15,20)",3,15,80904,2250074,-121178.470572
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,20_25,"[20,25)",1,15,85175,4385184,-1038231.66172
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,20_25,"[20,25)",2,15,85175,4385184,520687.3278
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,20_25,"[20,25)",3,15,85175,4385184,-236556.858706
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,25_30,"[25,30)",1,15,58790,5115454,-1055775.17835
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,25_30,"[25,30)",2,15,58790,5115454,521992.512052
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,25_30,"[25,30)",3,15,58790,5115454,-226547.30393
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,30_35,"[30,35)",1,15,30374,4202292,-693340.873153
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,30_35,"[30,35)",2,15,30374,4202292,319738.879704
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,30_35,"[30,35)",3,15,30374,4202292,-131764.143284
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,35_40,"[35,40)",1,15,12457,2585368,-321379.935902
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,35_40,"[35,40)",2,15,12457,2585368,150596.334103
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,35_40,"[35,40)",3,15,12457,2585368,-57111.7368012
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,40_999,"[40,inf)",1,15,5605,1856264,-149371.323258
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,40_999,"[40,inf)",2,15,5605,1856264,56671.813267
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,standard,40_999,"[40,inf)",3,15,5605,1856264,-16454.3618375
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,30_35,"[30,35)",1,15,30374,3927440,-1671243.84768
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,30_35,"[30,35)",2,15,30374,3927440,973288.294672
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,30_35,"[30,35)",3,15,30374,3927440,-527808.999016
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,35_40,"[35,40)",1,15,12457,1988906,-696554.577922
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,35_40,"[35,40)",2,15,12457,1988906,345189.603502
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,35_40,"[35,40)",3,15,12457,1988906,-153599.674314
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,40_45,"[40,45)",1,15,4138,792950,-225382.601098
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,40_45,"[40,45)",2,15,4138,792950,95309.3293794
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,40_45,"[40,45)",3,15,4138,792950,-41397.7274352
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,45_50,"[45,50)",1,15,1126,240674,-56291.4331338
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,45_50,"[45,50)",2,15,1126,240674,16017.6758015
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,45_50,"[45,50)",3,15,1126,240674,-7069.45134493
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,high_multiplicity,50_999,"[50,inf)",1,15,341,83790,-16129.3303061
