sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,0_10,"[0,10)",1,2,3791,43522,-27963.9980372
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,0_10,"[0,10)",2,2,3791,43522,23004.8567582
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,0_10,"[0,10)",3,2,3791,43522,-18648.0234504
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,10_15,"[10,15)",1,2,34536,935506,-628685.879023
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,10_15,"[10,15)",2,2,34536,935506,510238.578522
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,10_15,"[10,15)",3,2,34536,935506,-412471.013458
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,15_20,"[15,20)",1,2,80553,3843162,-2507546.9085
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,15_20,"[15,20)",2,2,80553,3843162,1954289.67436
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,15_20,"[15,20)",3,2,80553,3843162,-1506968.17267
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,20_25,"[20,25)",1,2,85318,6186480,-3640570.32311
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,20_25,"[20,25)",2,2,85318,6186480,2644812.27064
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,20_25,"[20,25)",3,2,85318,6186480,-1886647.70245
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,25_30,"[25,30)",1,2,58781,5893108,-2971408.24934
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,25_30,"[25,30)",2,2,58781,5893108,1935397.40558
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,25_30,"[25,30)",3,2,58781,5893108,-1220085.42429
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,30_35,"[30,35)",1,2,30895,3995240,-1682669.33747
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,30_35,"[30,35)",2,2,30895,3995240,957668.536666
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,30_35,"[30,35)",3,2,30895,3995240,-520136.885593
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,35_40,"[35,40)",1,2,12848,2048468,-704924.414817
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,35_40,"[35,40)",2,2,12848,2048468,355999.952311
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,35_40,"[35,40)",3,2,12848,2048468,-157139.24868
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,40_999,"[40,inf)",1,2,5778,1125242,-296427.265101
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,40_999,"[40,inf)",2,2,5778,1125242,124200.63569
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,standard,40_999,"[40,inf)",3,2,5778,1125242,-45872.8494697
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,0_10,"[0,10)",1,2,3791,23000,-4667.62456491
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,0_10,"[0,10)",2,2,3791,23000,1863.76817146
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,0_10,"[0,10)",3,2,3791,23000,-751.804783883
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,10_15,"[10,15)",1,2,34536,485502,-106256.222576
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,10_15,"[10,15)",2,2,34536,485502,47841.1000344
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,10_15,"[10,15)",3,2,34536,485502,-19608.259635
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,15_20,"[15,20)",1,2,80553,2289892,-540597.744179
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,15_20,"[15,20)",2,2,80553,2289892,256131.256878
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,15_20,"[15,20)",3,2,80553,2289892,-115489.387311
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,20_25,"[20,25)",1,2,85318,4476802,-1022790.89768
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,20_25,"[20,25)",2,2,85318,4476802,493945.070321
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,20_25,"[20,25)",3,2,85318,4476802,-218978.489819
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,standard,25_30,"[25,30)",1,2,58781,5241414,-1035804.06482
