axis,multiplicity_bin,hV2_2,hV2_2_err,hV2_4,hV2_4_err,hV2_6,hV2_6_err,hV2_8,hV2_8_err
thrust,0_10,0.3264950649,0.001977398766,0,0,0,0,0.2706207326,0.08944415915
thrust,10_15,0.3662826908,0.0004953076736,0,0,0,0,0,0
thrust,15_20,0.403520462,0.0003698220435,0,0,0,0,0,0
thrust,20_25,0.4237932576,0.0006269382793,0.2781502378,0.00281082418,0,0,0,0
thrust,25_30,0.4278722126,0.001220871761,0.3180135732,0.002707642432,0.2833989465,0.005788398351,0.2448663897,0.02299534487
thrust,30_35,0.4250444626,0.002850342202,0.3187445191,0.008990223146,0.3063349043,0.01041411557,0.3021312829,0.01162988084
thrust,35_40,0.4156604129,0.009485731679,0.3167300385,0.02439048939,0.2753473633,0.0564918134,0,0
thrust,40_999,0.4412432319,0.044076377,0.3433605374,0.05840658861,0,0,0,0
