axis,multiplicity_bin,hV2_2,hV2_2_err,hV2_4,hV2_4_err,hV2_6,hV2_6_err,hV2_8,hV2_8_err
beam,0_10,0.827527629,0.0006376753563,0.8227147586,0.000619905479,0.822563817,0.0006134350958,0.8225373601,0.0006138189562
beam,10_15,0.79667254,0.0002023437184,0.7866631604,0.00024423521,0.7858289925,0.000249111295,0.7856986134,0.0002496284438
beam,15_20,0.7474327031,0.0002500051188,0.7264743436,0.0003097906234,0.724454055,0.000322543197,0.7241325263,0.0003247488983
beam,20_25,0.6858769353,0.0004059406624,0.650069023,0.0005449334791,0.646369119,0.0005676215666,0.6457598746,0.0005720376658
beam,25_30,0.6216008385,0.0008715682586,0.5702102725,0.001291059243,0.564484771,0.001374969748,0.5634874247,0.001396807754
beam,30_35,0.5598819902,0.002203689956,0.4944969728,0.003531649668,0.4864405862,0.004013337326,0.4848849049,0.004154373004
beam,35_40,0.5128080407,0.006073796467,0.4415306549,0.01085777958,0.4330085266,0.01307946573,0.4314314341,0.01378097495
beam,40_999,0.4484262682,0.03713280759,0.3809360947,0.0462438883,0.3910529362,0.04259387454,0.3917901519,0.04115936843
