axis,multiplicity_bin,noshoving_v22,noshoving_v22_err,noshoving_v22_gap,noshoving_v22_gap_err,noshoving_gap_over_inclusive,noshoving_gap_over_inclusive_err,shoving_v22,shoving_v22_err,shoving_v22_gap,shoving_v22_gap_err,shoving_gap_over_inclusive,shoving_gap_over_inclusive_err,shoving2x_v22,shoving2x_v22_err,shoving2x_v22_gap,shoving2x_v22_gap_err,shoving2x_gap_over_inclusive,shoving2x_gap_over_inclusive_err,shoving_over_noshoving_v22,shoving_over_noshoving_v22_err,shoving_over_noshoving_v22_gap,shoving_over_noshoving_v22_gap_err,shoving2x_over_noshoving_v22,shoving2x_over_noshoving_v22_err,shoving2x_over_noshoving_v22_gap,shoving2x_over_noshoving_v22_gap_err
beam,0_10,0.7407454464,0.0002873146544,0.6777431422,0.0005056341911,0.9149474297,0.000525095047,0.7415761406,0.0002419531055,0.6782204775,0.000477213904,0.9145662062,0.0006011154334,0.742068156,0.0002787508865,0.6773736821,0.00050716639,0.9128186901,0.0004863866357,1.00112143,0.0005074177034,1.000704301,0.001026241407,1.001785647,0.0005409185689,0.9994548671,0.001056394894
beam,10_15,0.7312918598,0.0001648743297,0.6667752103,0.000325914662,0.9117771535,0.0003697189175,0.7331932833,0.0001334411945,0.6692646605,0.0002374966303,0.9128079535,0.0003078117307,0.7348161982,0.0001328819561,0.67036822,0.0002096395251,0.9122937432,0.0002906985508,1.002600088,0.0002905024626,1.003733567,0.00060627925,1.004819332,0.0002904128594,1.005388637,0.0005833972012
beam,15_20,0.6895796094,0.0001655379161,0.6013790718,0.0002813888699,0.8720952065,0.0003137597143,0.6920030718,0.0001656363579,0.6032012497,0.0004997828707,0.8716742372,0.0006073812659,0.6942619199,0.0001376770762,0.6066419913,0.0002991393458,0.8737941314,0.0003050276659,1.003514406,0.0003401887068,1.003029999,0.0009544253008,1.006790094,0.0003134865782,1.008751418,0.0006857213016
beam,20_25,0.6294459853,0.0001792965518,0.4947960083,0.0006690092984,0.7860817606,0.0009670578027,0.6324309065,0.0001859723016,0.4986636816,0.0005328449204,0.7884872109,0.0008194747658,0.6358123527,0.000160591297,0.5015517044,0.0006793233215,0.7888360492,0.0009784447346,1.00474214,0.0004113427935,1.007816703,0.001736822402,1.01011424,0.0003845517143,1.013653497,0.001939939738
beam,25_30,0.5659482151,0.0005851130421,0.3830779675,0.001646207469,0.6768781264,0.002999064441,0.5694043646,0.0004623424637,0.3847111374,0.00195920201,0.6756378442,0.003144219633,0.5735010848,0.0004331844472,0.3925161827,0.001568343076,0.6844209944,0.002431687619,1.00610683,0.001322629723,1.004263283,0.00669189787,1.013345514,0.001297478626,1.024637844,0.006012438598
beam,30_35,0.5052439352,0.001289660822,0.2809109524,0.005667285252,0.5559907459,0.01114823564,0.5134032028,0.001196149362,0.2836336144,0.006043502444,0.5524578205,0.01178388677,0.5138026477,0.001128500555,0.284517104,0.007185613669,0.5537478354,0.01424977653,1.016149165,0.003511775154,1.00969226,0.02962760678,1.016939763,0.003424469034,1.012837348,0.03273919117
beam,35_40,0.4585333649,0.002573261921,0.2336732049,0.02285277557,0.5096100367,0.0503483025,0.4555756354,0.005839454459,0.2046129382,0.02412282139,0.4491305556,0.05519680388,0.4624838187,0.003664380717,0.1960719877,0.02529457263,0.4239542655,0.05417140678,0.9935495871,0.01390219027,0.875637146,0.1341288009,1.008615412,0.009793025348,0.8390863117,0.1358365009
beam,40_999,0.442246246,0.022011926,0.2776961913,0.0552600338,0.6279220995,0.1312057447,0.4293102555,0.01662608797,0,0,0,0,0.3813807632,0.01992062318,0,0,0,0,0.9707493493,0.0612200989,0,0,0.8623719627,0.06222017092,0,0
