axis,multiplicity_bin,data_v22,data_v22_err,data_v22_gap,data_v22_gap_err,data_gap_over_inclusive,data_gap_over_inclusive_err,mc_v22,mc_v22_err,mc_v22_gap,mc_v22_gap_err,mc_gap_over_inclusive,mc_gap_over_inclusive_err,data_over_mc_v22,data_over_mc_v22_gap
thrust,0_10,0.3264950649,0.001977398766,0.2405150069,0.003354452959,0.7366574041,0.01120102468,0.3349645284,0.001771433906,0.2441398042,0.002694726037,0.7288527096,0.008920537758,0.9747153419,0.9851527806
thrust,10_15,0.3662826908,0.0004953076736,0.2439580119,0.0009225697607,0.6660375115,0.002674922667,0.3711027821,0.0008753714169,0.2397216893,0.001752005525,0.6459711455,0.004960884412,0.9870114384,1.017671837
thrust,15_20,0.403520462,0.0003698220435,0.2372374642,0.0007156436606,0.5879192918,0.00185354578,0.4091490453,0.0006021471952,0.2354373947,0.0009828513078,0.5754318566,0.00254709075,0.9862431958,1.00764564
thrust,20_25,0.4237932576,0.0006269382793,0.2199759698,0.001229312467,0.5190643452,0.003000651042,0.4265365162,0.0007176535204,0.2135920979,0.001917609971,0.5007592311,0.004574036478,0.9935685258,1.029888146
thrust,25_30,0.4278722126,0.001220871761,0.1981448419,0.002769853628,0.4630935035,0.006607035217,0.4284918791,0.001389967385,0.1934237287,0.005044587371,0.4514058216,0.0118636033,0.9985538429,1.024408139
thrust,30_35,0.4250444626,0.002850342202,0.1887713839,0.008859295891,0.444121499,0.02105492795,0.4184916281,0.003570773951,0.1732636546,0.0109590434,0.4140194044,0.02642420724,1.015658221,1.089503648
thrust,35_40,0.4156604129,0.009485731679,0.1726965854,0.02948601758,0.4154751813,0.07156859904,0.4124117725,0.011583381,0.1875103729,0.03224180321,0.4546678475,0.0792147892,1.007877177,0.920997504
thrust,40_999,0.4412432319,0.044076377,0.3643080427,0.05490444641,0.8256399565,0.1492820907,0.2951200458,0.06518633181,0,0,0,0,1.495131348,0
