sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",1,6,13,212,-24.735855208
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",2,6,13,212,9.75787372664
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",3,6,13,212,-7.9043305896
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",1,6,867,37138,-3040.33818949
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",2,6,867,37138,-546.954982243
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",3,6,867,37138,-1336.23578039
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",1,6,12330,914212,-62729.1940419
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",2,6,12330,914212,-3097.31420028
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",3,6,12330,914212,-20227.0562868
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",1,6,53381,6071120,-381813.009755
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",2,6,53381,6071120,3840.91802102
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",3,6,53381,6071120,-131480.099553
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",1,6,93292,15295572,-889283.419281
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",2,6,93292,15295572,29629.8328772
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",3,6,93292,15295572,-303564.267394
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",1,6,84161,18861734,-1004069.16692
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",2,6,84161,18861734,148002.867297
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",3,6,84161,18861734,-320741.817697
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",1,6,46039,13486818,-632738.298201
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",2,6,46039,13486818,200918.600278
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",3,6,46039,13486818,-179338.935409
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",1,6,22417,8884076,-349221.525976
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",2,6,22417,8884076,161366.226325
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",3,6,22417,8884076,-97494.9639492
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,6,84161,18861734,-1004069.16692
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,6,84161,18861734,148002.867297
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,6,84161,18861734,-320741.817697
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,6,46039,13486818,-632738.298201
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,6,46039,13486818,200918.600278
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,6,46039,13486818,-179338.935409
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,6,16907,6254136,-261048.27352
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,6,16907,6254136,100468.49109
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,6,16907,6254136,-74845.8509721
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,6,4552,2087840,-72143.7360669
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,6,4552,2087840,49166.4282996
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,6,4552,2087840,-16862.9188197
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,6,958,542100,-16029.5163898
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,6,958,542100,11731.3069346
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,6,958,542100,-5786.19415742
