sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",1,8,8,136,-15.8017252241
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",2,8,8,136,-26.6520581714
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",3,8,8,136,-17.0182945957
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",1,8,882,36618,-3315.38666338
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",2,8,882,36618,281.832642432
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",3,8,882,36618,-999.87476798
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",1,8,12405,919120,-62892.014717
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",2,8,12405,919120,-2851.4995036
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",3,8,12405,919120,-21765.4621489
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",1,8,53311,6041620,-380018.098405
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",2,8,53311,6041620,-33904.7626715
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",3,8,53311,6041620,-127185.34255
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",1,8,93624,15300776,-869273.242251
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",2,8,93624,15300776,16126.8577205
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",3,8,93624,15300776,-296060.459333
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",1,8,84013,18813610,-997140.460154
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",2,8,84013,18813610,164032.846657
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",3,8,84013,18813610,-335861.375808
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",1,8,45849,13458292,-633939.394832
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",2,8,45849,13458292,204039.325948
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",3,8,45849,13458292,-165709.660753
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",1,8,22408,8883092,-343973.301469
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",2,8,22408,8883092,210342.042114
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",3,8,22408,8883092,-77451.9916713
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,8,84013,18813610,-997140.460154
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,8,84013,18813610,164032.846657
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,8,84013,18813610,-335861.375808
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,8,45849,13458292,-633939.394832
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,8,45849,13458292,204039.325948
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,8,45849,13458292,-165709.660753
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,8,16980,6295932,-257468.679876
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,8,16980,6295932,145898.677781
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,8,16980,6295932,-61081.7855541
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,8,4410,2013254,-68905.149847
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,8,4410,2013254,45429.6870449
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,8,4410,2013254,-12310.470708
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,8,1018,573906,-17599.4717452
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,8,1018,573906,19013.6772886
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,8,1018,573906,-4059.7354092
