sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,0_10,"[0,10)",1,12,8,102,-4.73012276207
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,0_10,"[0,10)",2,12,8,102,-48.7269710355
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,0_10,"[0,10)",3,12,8,102,-1.68901065623
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,10_15,"[10,15)",1,12,823,35694,-3050.68148589
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,10_15,"[10,15)",2,12,823,35694,368.835954001
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,10_15,"[10,15)",3,12,823,35694,-369.871249019
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,15_20,"[15,20)",1,12,12484,917664,-63721.5166215
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,15_20,"[15,20)",2,12,12484,917664,7135.50930304
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,15_20,"[15,20)",3,12,12484,917664,-19702.2705044
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,20_25,"[20,25)",1,12,53762,6101302,-386637.249842
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,20_25,"[20,25)",2,12,53762,6101302,-13766.2116585
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,20_25,"[20,25)",3,12,53762,6101302,-130868.728622
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,25_30,"[25,30)",1,12,93667,15320042,-890669.586065
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,25_30,"[25,30)",2,12,93667,15320042,45337.7405771
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,25_30,"[25,30)",3,12,93667,15320042,-310209.206765
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,30_35,"[30,35)",1,12,84026,18784664,-1000626.27991
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,30_35,"[30,35)",2,12,84026,18784664,213971.558137
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,30_35,"[30,35)",3,12,84026,18784664,-345123.88865
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,35_40,"[35,40)",1,12,45491,13310152,-640466.566945
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,35_40,"[35,40)",2,12,45491,13310152,225128.37973
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,35_40,"[35,40)",3,12,45491,13310152,-196996.521119
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,40_999,"[40,inf)",1,12,22239,8840838,-344799.205545
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,40_999,"[40,inf)",2,12,22239,8840838,164942.239983
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,40_999,"[40,inf)",3,12,22239,8840838,-82914.4618258
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,12,84026,18784664,-1000626.27991
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,12,84026,18784664,213971.558137
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,12,84026,18784664,-345123.88865
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,12,45491,13310152,-640466.566945
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,12,45491,13310152,225128.37973
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,12,45491,13310152,-196996.521119
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,12,16805,6242102,-265732.147189
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,12,16805,6242102,107188.147707
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,12,16805,6242102,-64714.1371349
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,12,4466,2048808,-62924.8183306
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,12,4466,2048808,52765.4380747
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,12,4466,2048808,-15917.1850348
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,12,968,549928,-16142.2400251
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,12,968,549928,4988.65420188
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,12,968,549928,-2283.13965609
