sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,0_10,"[0,10)",1,2,7,158,-19.5255228367
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,0_10,"[0,10)",2,2,7,158,-71.5890507673
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,0_10,"[0,10)",3,2,7,158,35.9169695198
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,10_15,"[10,15)",1,2,811,34080,-2468.34681109
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,10_15,"[10,15)",2,2,811,34080,-334.18782637
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,10_15,"[10,15)",3,2,811,34080,-78.7673926345
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,15_20,"[15,20)",1,2,12763,934944,-62569.6538033
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,15_20,"[15,20)",2,2,12763,934944,5441.4651353
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,15_20,"[15,20)",3,2,12763,934944,-20555.147556
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,20_25,"[20,25)",1,2,53403,6045554,-386043.211228
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,20_25,"[20,25)",2,2,53403,6045554,25630.2531629
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,20_25,"[20,25)",3,2,53403,6045554,-132158.669334
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,25_30,"[25,30)",1,2,93835,15334514,-893464.203896
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,25_30,"[25,30)",2,2,93835,15334514,88465.9055466
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,25_30,"[25,30)",3,2,93835,15334514,-325479.111533
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,30_35,"[30,35)",1,2,84002,18757032,-1003566.59187
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,30_35,"[30,35)",2,2,84002,18757032,247518.428534
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,30_35,"[30,35)",3,2,84002,18757032,-327484.082017
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,35_40,"[35,40)",1,2,45758,13371228,-628593.493694
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,35_40,"[35,40)",2,2,45758,13371228,258736.020707
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,35_40,"[35,40)",3,2,45758,13371228,-206954.012452
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,40_999,"[40,inf)",1,2,21921,8675098,-333023.92222
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,40_999,"[40,inf)",2,2,21921,8675098,176860.75897
"Pythia WW enhanced shoving",enhanced_shoving,thrust,standard,40_999,"[40,inf)",3,2,21921,8675098,-95558.9739103
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,2,84002,18757032,-1003566.59187
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,2,84002,18757032,247518.428534
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,2,84002,18757032,-327484.082017
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,2,45758,13371228,-628593.493694
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,2,45758,13371228,258736.020707
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,2,45758,13371228,-206954.012452
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,2,16569,6122056,-253031.399213
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,2,16569,6122056,126993.374336
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,2,16569,6122056,-69919.963981
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,2,4412,2013140,-65305.3293589
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,2,4412,2013140,40093.1620122
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,2,4412,2013140,-21389.1375297
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,2,940,539902,-14687.1936483
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,2,940,539902,9774.22262227
"Pythia WW enhanced shoving",enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,2,940,539902,-4249.87239963
