sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",2,1342948.0,299572554.0,0.012436988569600405,0.0003560791674666205,0.11152124716662921
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",3,1342948.0,299572554.0,-0.018364610795697258,0.00013615028604915263,-0.13551609054166688
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",1,730401.0,213568148.0,-0.04792355844605161,0.00017157974502553076,-0.21891450031017043
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",2,730401.0,213568148.0,0.018789258204458467,0.0004404169615531913,0.13707391511319164
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",3,730401.0,213568148.0,-0.015180843293518657,0.00012285326705500514,-0.1232105648616167
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",1,352944.0,139809464.0,-0.039304719816385246,0.0001984555073840277,-0.19825417982071714
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",2,352944.0,139809464.0,0.021884769461922835,0.0005272457718198127,0.1479350177000795
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",3,352944.0,139809464.0,-0.010162280075376728,0.00018262151764168418,-0.10080813496626514
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,1347509.0,301810882.0,-0.053114966938163616,0.00013834175328934415,-0.23046684563763964
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,1347509.0,301810882.0,0.009531248072168584,0.00025252514034696964,0.09762811107549191
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,1347509.0,301810882.0,-0.017482612081909623,0.00011690476029754101,-0.13222182906732768
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,735571.0,215864270.0,-0.04736296517598767,0.00014593023857945866,-0.21763034066045953
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,735571.0,215864270.0,0.015544992119446169,0.0003320815004619227,0.12467955774482908
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,735571.0,215864270.0,-0.01401413028884771,0.00016964631515505862,-0.1183812919715261
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,270159.0,100278274.0,-0.041375072679651424,0.00025951790233826185,-0.20340863472245083
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,270159.0,100278274.0,0.019087197164691927,0.0005387096797017505,0.13815642281375096
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,270159.0,100278274.0,-0.010571342957927258,0.00020388841118048376,-0.10281703632145432
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,71005.0,32510398.0,-0.03495268454072448,0.000409335933232566,-0.1869563706877208
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,71005.0,32510398.0,0.01760841590471147,0.0008388773271636408,0.1326967064576641
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,71005.0,32510398.0,-0.0078079970861371795,0.0004301936053854276,-0.08836287164945003
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,16263.0,9245342.0,-0.02761948088463358,0.0006946636766975683,-0.16619109748910613
