technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_no_shoving,shoving2x_over_no_shoving,delta_shoving_over_sigma,delta_shoving2x_over_sigma,effect_scale_2x_over_nominal
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},40_999,0.3421147057,0.04105994406,0.3194786538,0.04740322557,0.2919949127,0.04099748362,0.9338349053026398,0.8535000332784584,-0.36094376736946504,-0.8637861614013702,2.2141578938507385
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},0_10,0.2719364248,0.0007992006486,0.2749016954,0.0007607127212,0.2770848234,0.0007696377977,1.0109042788298066,1.0189323611347265,2.6874890176868056,4.640148129377338,1.7362323020368073
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},10_15,0.3130635155,0.0002530444936,0.317751664,0.0002378684194,0.3224750664,0.0002756046963,1.0149750714084727,1.030062752234059,13.499089559794978,25.15437432684736,2.0075197916618963
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},15_20,0.35726431,0.0001907275014,0.3630251061,0.0001900615297,0.3692520814,0.0001892313427,1.0161247455700235,1.03355434915959,21.395005763178787,44.61835203446083,2.080922704415796
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},20_25,0.3790822666,0.0003781983533,0.3867679739,0.0003015283369,0.3933964733,0.0002876721061,1.0202745102505937,1.0377601591031533,15.8898289849306,30.1242101126604,1.8624449437464237
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},25_30,0.3781076982,0.0004742327959,0.3877559861,0.0004362171958,0.3958856028,0.000548612854,1.0255173008799638,1.0470180974485115,14.973761042397035,24.5154694406897,1.842596819690674
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},30_35,0.3637006485,0.001056019119,0.3763124253,0.001399013312,0.3828514698,0.001417872956,1.0346762560144294,1.0526554499668428,7.195092210477688,10.832404434245927,1.5184871730365581
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},35_40,0.3493898866,0.003557695782,0.351580199,0.003807821314,0.3740658056,0.00307655562,1.0062689633672985,1.070625739171009,0.420307892306189,5.246350200298118,11.265935854629682
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},40_999,0.3170923391,0.02537034844,0.3224601913,0.02426141631,0.3606232467,0.01766210552,1.0169283566270806,1.1372814862811045,0.15291407174722646,1.40818144440326,8.109557785514339
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},20_25,0.2630616258,0.001183519972,0.2691298088,0.0007574181187,0.2759159893,0.001041403789,1.0230675340105042,1.048864456991431,4.318579391436308,8.1539170522149,2.118321662349341
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},25_30,0.294039468,0.00100493491,0.3033068794,0.001538876206,0.3088322455,0.001432892626,1.0315175764091642,1.0503088160260172,5.042273802648768,8.452221655381134,1.596214612852948
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},30_35,0.2830629536,0.003485742884,0.2941291103,0.003159062148,0.3034323726,0.002726062057,1.039094330640094,1.0719607378533338,2.352368482917751,4.6031183292419575,1.8406949722662076
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},35_40,0.2861345453,0.008077595447,0.2723901401,0.009321438136,0.309139763,0.005242117371,0.9519652365442643,1.0804000009012544,-1.1143172991347423,2.389034602854687,-1.673787796943011
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},0_10,0.2559186708,0.01920756849,0.3007551608,0.01348498328,0.2590682883,0.01829865163,1.1751981981613198,1.0123071032299218,1.9104880048396535,0.11872495858632302,0.07024674545219714
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},25_30,0.2661113401,0.00233794135,0.2800835799,0.002321254246,0.2869876667,0.002124411878,1.0525052400801465,1.0784495940389276,4.240990506316269,6.608585167894558,1.494128851123782
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},30_35,0.2626494268,0.005584049171,0.2758043852,0.005302980927,0.2896631271,0.003385237657,1.0500856162538559,1.102850787184737,1.7082458384100194,4.136834536773545,2.0534994850306743
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},35_40,0.2749221709,0.009536816418,0.2600689854,0.01217487055,0.3003990009,0.006782691731,0.9459731259527895,1.092669244959756,-0.9604144396922981,2.176983889075737,-1.7152435078657065
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},10_15,0.2418185256,0.00995039782,0.2417268057,0.01189790032,0.2317137212,0.02165163982,0.9996207077196735,0.9582132742934895,-0.005913470482697848,-0.4240613744153807,110.17025094880175
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},25_30,0.2461468731,0.00482903168,0.267124998,0.003313708231,0.276190437,0.003152871205,1.085226046692364,1.1220554359339534,3.5819397978442895,5.209420179666894,1.4321377169415177
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},30_35,0.2535088142,0.00756361504,0.2669295258,0.007916350379,0.2852264789,0.004333502629,1.052939822397702,1.1251146426608154,1.2257667480452794,3.63856447910234,2.3633370305044017
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},35_40,0.2715553662,0.01063813602,0.2600859192,0.01404976958,0.2991227161,0.00725582623,0.957763872758262,1.1015164984060626,-0.6508269830513643,2.140821976520973,-2.4035465615735543
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},0_10,0.6783983783,0.0004468990731,0.6792053296,0.0003547488126,0.6792962204,0.000493543671,1.001189494736149,1.001323473240384,1.4142563460175253,1.3484941716379377,1.1126348021250159
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},10_15,0.6701337151,0.0002668201077,0.6722409088,0.0001971508578,0.6736438499,0.0001942083934,1.003144437673436,1.0052379617991258,6.351654732600629,10.636290132381273,1.6657864912941076
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},15_20,0.6157434085,0.0001869702289,0.6181328285,0.0003121315896,0.6206210997,0.0002741860215,1.0038805449916561,1.0079216295824953,6.567116972259452,14.697719888727496,2.0413703744005174
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},20_25,0.532511425,0.0003723823321,0.5352946572,0.0003235108972,0.5386704804,0.0003565663887,1.0052266149970397,1.011566053066373,5.642265062027901,11.946204111866656,2.2129146824328845
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},25_30,0.4446327899,0.0007129817497,0.4476314696,0.0009769107214,0.451788103,0.0007479233747,1.006744171298465,1.0160926347820844,2.4794355008622198,6.924643852314105,2.3861545132679525
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},30_35,0.3632451182,0.001914724857,0.3718463412,0.003142423146,0.3701990783,0.002316234502,1.0236788399046404,1.0191439877690833,2.337410155509839,2.313990348384791,0.8084850375347781
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},35_40,0.3102995939,0.006608528879,0.2923469625,0.00937315321,0.2960083876,0.007764983715,0.942144199499708,0.9539438446554795,-1.5653733092609574,-1.4015862385391973,0.7960507839535993
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},0_10,0.2219247026,0.0008743648016,0.2242262,0.0009329055878,0.2259845553,0.001172486866,1.010370622887116,1.0182938296297621,1.8000088289885878,2.7757515875595113,1.7640049039377672
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},10_15,0.2395881537,0.000296842707,0.2439350294,0.0003267708385,0.2476513687,0.0002831822083,1.0181431161468981,1.0336544811397326,9.846392077123262,19.654236404863635,1.854944920555241
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},15_20,0.2551188947,0.0003139516379,0.2600961717,0.00029223042,0.2654747741,0.0001898086879,1.0195096368924492,1.0405923654231009,11.604464248385803,28.22771978682253,2.080631517996685
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},20_25,0.2522671797,0.0005811289631,0.2582486634,0.000410171066,0.2638963638,0.0003888784726,1.02371090724966,1.046098680430128,8.409198789363462,16.63116391317003,1.9441972398921599
