group,axis,method,bin,v22,v22_err,c22_or_corr,c22_or_corr_err,c22_significance
gap,beam,twosub0,40_999,0.4193405694,0.06942959569,0.1758465131,0.05924426207,2.968161084
gap,beam,twosub1p0,0_10,0.8478576158,0.0009717221984,0.7188625366,0.001647893157,436.2312773
gap,beam,twosub1p0,10_15,0.8128924365,0.0006474764918,0.6607941133,0.001052584876,627.7822608
gap,beam,twosub1p0,15_20,0.7496318348,0.000571166712,0.5619478877,0.000856332822,656.2260295
gap,beam,twosub1p0,20_25,0.6579623439,0.0008345868651,0.432914446,0.001098127753,394.2295829
gap,beam,twosub1p0,25_30,0.5483521595,0.003588453555,0.3006900908,0.003936454203,76.38602542
gap,beam,twosub1p0,30_35,0.4407953313,0.008068407359,0.1943005241,0.007115176515,27.30789934
gap,beam,twosub1p0,35_40,0.3432364617,0.03131655341,0.1178112686,0.02137818527,5.510817085
gap,beam,twosub1p0,40_999,0,0,-0.05479509744,0.0709181972,-0.7726521486
gap,beam,twosub1p6,0_10,0.8533423153,0.001195116914,0.728193107,0.002039773137,356.997106
gap,beam,twosub1p6,10_15,0.8169502253,0.0007107513593,0.6674076705,0.001161307451,574.7036844
gap,beam,twosub1p6,15_20,0.7495224188,0.0009722457371,0.5617838562,0.001457500207,385.4434143
gap,beam,twosub1p6,20_25,0.6466076909,0.001410014911,0.4181015059,0.001823338033,229.3055365
gap,beam,twosub1p6,25_30,0.5296206645,0.00480064792,0.2804980482,0.005083809973,55.17477045
gap,beam,twosub1p6,30_35,0.397750501,0.01992275164,0.1582054611,0.0157996746,10.01321009
gap,beam,twosub1p6,35_40,0.2684561322,0.04784822657,0.07206869493,0.02595285943,2.77690769
gap,beam,twosub1p6,40_999,0,0,-0.1184887237,0.141130033,-0.8395712892
gap,beam,twosub2p0,0_10,0.8342788578,0.002390211975,0.6960212126,0.003989222173,174.4754196
gap,beam,twosub2p0,10_15,0.7909763713,0.0009975301591,0.62564362,0.001577698581,396.5545939
gap,beam,twosub2p0,15_20,0.7143750235,0.001767157587,0.5103316741,0.002524677338,202.1373846
gap,beam,twosub2p0,20_25,0.5994625433,0.002951892411,0.3593553408,0.003537928723,101.5722387
gap,beam,twosub2p0,25_30,0.4896758347,0.006885221859,0.2397824231,0.006737799139,35.58764786
gap,beam,twosub2p0,30_35,0.3226405883,0.03881414431,0.1040969492,0.02485170069,4.188725372
gap,beam,twosub2p0,35_40,0.3415044485,0.04745335235,0.1166252883,0.0326744652,3.569309784
gap,beam,twosub2p0,40_999,0,0,-0.3392821975,0.03274050923,-10.36276483
gap,thrust,inclusive,0_10,0.3416780557,0.001938489142,0.1167438938,0.001324491045,88.1424561
gap,thrust,inclusive,10_15,0.3697460193,0.0008824768038,0.1367121188,0.0006525794907,209.4949669
gap,thrust,inclusive,15_20,0.4038380879,0.0005744860261,0.1630852012,0.0004639623566,351.5052437
gap,thrust,inclusive,20_25,0.4191647485,0.0005767513161,0.1756990864,0.000483460363,363.4198371
gap,thrust,inclusive,25_30,0.4197089718,0.001240855941,0.176155621,0.001041790191,169.0893451
gap,thrust,inclusive,30_35,0.407710165,0.003512120616,0.1662275786,0.002863981658,58.04072738
gap,thrust,inclusive,35_40,0.4026238402,0.01364775686,0.1621059567,0.01094358486,14.81287519
gap,thrust,inclusive,40_999,0.3124884891,0.1307904729,0.09764905579,0.06713179046,1.454587389
gap,thrust,etagap1p0,0_10,0.2766307639,0.002827556879,0.07652457955,0.001566542841,48.84933724
gap,thrust,etagap1p0,10_15,0.2854943961,0.0007921801323,0.08150705022,0.0004523134783,180.2003569
gap,thrust,etagap1p0,15_20,0.2949480453,0.000869736192,0.08699434945,0.0005130449152,169.5647825
gap,thrust,etagap1p0,20_25,0.2847860579,0.001046243811,0.08110309877,0.0005956315707,136.1631968
gap,thrust,etagap1p0,25_30,0.2695240673,0.002321725654,0.07264322287,0.00125117231,58.06012672
gap,thrust,etagap1p0,30_35,0.2501019034,0.007241764631,0.06255096207,0.003618066579,17.28850498
gap,thrust,etagap1p0,35_40,0.2526920935,0.02704531443,0.06385329412,0.01365907183,4.674790127
gap,thrust,etagap1p0,40_999,0,0,-0.06783108531,0.0852877325,-0.7953205382
gap,thrust,etagap1p6,0_10,0.2567604227,0.002755132783,0.06592591467,0.001416458954,46.5427639
gap,thrust,etagap1p6,10_15,0.2554776452,0.000945191446,0.06526882722,0.0004829483482,135.1466
gap,thrust,etagap1p6,15_20,0.2546358618,0.001105937216,0.06483942213,0.0005632505217,115.1164884
gap,thrust,etagap1p6,20_25,0.234518442,0.001238125304,0.05499889963,0.000580417431,94.75749125
gap,thrust,etagap1p6,25_30,0.2150929554,0.003148681027,0.04626497948,0.001354231856,34.16326331
gap,thrust,etagap1p6,30_35,0.1926816505,0.01086105901,0.03712621846,0.004169633182,8.903953138
gap,thrust,etagap1p6,35_40,0.2042032493,0.0329571666,0.041698967,0.01322073807,3.154057421
gap,thrust,etagap1p6,40_999,0,0,-0.1119348452,0.1250608707,-0.8950429068
