axis,multiplicity_bin,data_v22,data_v22_err,data_v22_gap,data_v22_gap_err,data_gap_over_inclusive,data_gap_over_inclusive_err,mc_v22,mc_v22_err,mc_v22_gap,mc_v22_gap_err,mc_gap_over_inclusive,mc_gap_over_inclusive_err,data_over_mc_v22,data_over_mc_v22_err,data_over_mc_v22_gap,data_over_mc_v22_gap_err,mc_over_data_v22,mc_over_data_v22_err,mc_over_data_v22_gap,mc_over_data_v22_gap_err
thrust,0_10,0.2719364248,0.0007992006486,0.2219247026,0.0008743648016,0.8160903884,0.001272400372,0.2749016954,0.0007607127212,0.2242262,0.0009329055878,0.8156595749,0.002046465784,0.989213342,0.003993135734,0.9897358228,0.005671209208,1.010904279,0.004080695061,1.010370623,0.005789447092
thrust,10_15,0.3130635155,0.0002530444936,0.2395881537,0.000296842707,0.7653020612,0.0007088254871,0.317751664,0.0002378684194,0.2439350294,0.0003267708385,0.767690801,0.0006646738061,0.9852458728,0.001085436976,0.9821801907,0.00179218333,1.014975071,0.00111818938,1.018143116,0.001857804849
thrust,15_20,0.35726431,0.0001907275014,0.2551188947,0.0003139516379,0.7140900658,0.0005891329154,0.3630251061,0.0001900615297,0.2600961717,0.00029223042,0.7164688264,0.0006968067682,0.984131136,0.0007358678852,0.9808637051,0.001634472714,1.016124745,0.0007597905808,1.019509637,0.001698870776
thrust,20_25,0.3790822666,0.0003781983533,0.2522671797,0.0005811289631,0.6654681632,0.0009798382426,0.3867679739,0.0003015283369,0.2582486634,0.000410171066,0.6677095333,0.0007435730051,0.9801283771,0.001240988987,0.9768382781,0.002733283516,1.02027451,0.001291819991,1.023710907,0.002864437452
thrust,25_30,0.3781076982,0.0004742327959,0.2354455687,0.0007787671974,0.6226944594,0.001545940406,0.3877559861,0.0004362171958,0.243597485,0.0007683209853,0.6282236606,0.001707144767,0.9751176301,0.001642910203,0.9665353019,0.00441744897,1.025517301,0.001727825223,1.034623358,0.004728638343
thrust,30_35,0.3637006485,0.001056019119,0.2126343563,0.002626279809,0.5846411248,0.006172466512,0.3763124253,0.001399013312,0.2253229843,0.0030778952,0.5987657307,0.006506167773,0.966485888,0.004559085798,0.9436869341,0.01737882408,1.034676256,0.00488075189,1.059673461,0.0195148179
thrust,35_40,0.3493898866,0.003557695782,0.2000996615,0.007476835172,0.5727116587,0.01644583249,0.351580199,0.003807821314,0.1888747309,0.009709793547,0.5372166335,0.02342262232,0.9937700916,0.01477301814,1.059430558,0.06733040305,1.006268963,0.01495882174,0.9439033005,0.05998825427
thrust,40_999,0.3170923391,0.02537034844,0.1906448789,0.04164430059,0.6012282714,0.09307197167,0.3224601913,0.02426141631,0.1562241315,0.04883042729,0.4844757142,0.1223647027,0.9833534423,0.1080003435,1.220329261,0.465349579,1.016928357,0.1116878297,0.8194509728,0.3124821943
