technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving_over_no_shoving,delta_over_sigma
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},20_25,0.3790822666,0.0003781983533,0.3867679739,0.0003015283369,1.0202745102505937,15.8898289849306
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},25_30,0.3781076982,0.0004742327959,0.3877559861,0.0004362171958,1.0255173008799638,14.973761042397035
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},30_35,0.3637006485,0.001056019119,0.3763124253,0.001399013312,1.0346762560144294,7.195092210477688
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},35_40,0.3493898866,0.003557695782,0.351580199,0.003807821314,1.0062689633672985,0.420307892306189
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},40_999,0.3170923391,0.02537034844,0.3224601913,0.02426141631,1.0169283566270806,0.15291407174722646
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},20_25,0.2630616258,0.001183519972,0.2691298088,0.0007574181187,1.0230675340105042,4.318579391436308
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},25_30,0.294039468,0.00100493491,0.3033068794,0.001538876206,1.0315175764091642,5.042273802648768
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},30_35,0.2830629536,0.003485742884,0.2941291103,0.003159062148,1.039094330640094,2.352368482917751
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{4},35_40,0.2861345453,0.008077595447,0.2723901401,0.009321438136,0.9519652365442643,-1.1143172991347423
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},0_10,0.2559186708,0.01920756849,0.3007551608,0.01348498328,1.1751981981613198,1.9104880048396535
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},25_30,0.2661113401,0.00233794135,0.2800835799,0.002321254246,1.0525052400801465,4.240990506316269
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},30_35,0.2626494268,0.005584049171,0.2758043852,0.005302980927,1.0500856162538559,1.7082458384100194
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{6},35_40,0.2749221709,0.009536816418,0.2600689854,0.01217487055,0.9459731259527895,-0.9604144396922981
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},10_15,0.2418185256,0.00995039782,0.2417268057,0.01189790032,0.9996207077196735,-0.005913470482697848
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},25_30,0.2461468731,0.00482903168,0.267124998,0.003313708231,1.085226046692364,3.5819397978442895
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},30_35,0.2535088142,0.00756361504,0.2669295258,0.007916350379,1.052939822397702,1.2257667480452794
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{8},35_40,0.2715553662,0.01063813602,0.2600859192,0.01404976958,0.957763872758262,-0.6508269830513643
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},0_10,0.6783983783,0.0004468990731,0.6792053296,0.0003547488126,1.001189494736149,1.4142563460175253
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},10_15,0.6701337151,0.0002668201077,0.6722409088,0.0001971508578,1.003144437673436,6.351654732600629
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},15_20,0.6157434085,0.0001869702289,0.6181328285,0.0003121315896,1.0038805449916561,6.567116972259452
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},20_25,0.532511425,0.0003723823321,0.5352946572,0.0003235108972,1.0052266149970397,5.642265062027901
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},25_30,0.4446327899,0.0007129817497,0.4476314696,0.0009769107214,1.006744171298465,2.4794355008622198
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},30_35,0.3632451182,0.001914724857,0.3718463412,0.003142423146,1.0236788399046404,2.337410155509839
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},35_40,0.3102995939,0.006608528879,0.2923469625,0.00937315321,0.942144199499708,-1.5653733092609574
eta_gap,etagap1p0,|delta eta|>1.0,beam,gap v2{2},40_999,0.3389110804,0.03544626729,0.2726346238,0.02482559799,0.8044429337577951,-1.5315091272651413
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},0_10,0.2219247026,0.0008743648016,0.2242262,0.0009329055878,1.010370622887116,1.8000088289885878
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},10_15,0.2395881537,0.000296842707,0.2439350294,0.0003267708385,1.0181431161468981,9.846392077123262
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},15_20,0.2551188947,0.0003139516379,0.2600961717,0.00029223042,1.0195096368924492,11.604464248385803
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},20_25,0.2522671797,0.0005811289631,0.2582486634,0.000410171066,1.02371090724966,8.409198789363462
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},25_30,0.2354455687,0.0007787671974,0.243597485,0.0007683209853,1.0346233583626583,7.4516035507975245
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},30_35,0.2126343563,0.002626279809,0.2253229843,0.0030778952,1.059673461150831,3.1360279111972256
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},35_40,0.2000996615,0.007476835172,0.1888747309,0.009709793547,0.9439033004061329,-0.9159527120666937
eta_gap,etagap1p0,|delta eta|>1.0,thrust,gap v2{2},40_999,0.1906448789,0.04164430059,0.1562241315,0.04883042729,0.8194509729366771,-0.5363427439667974
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},0_10,0.681262292,0.0004651019601,0.6818721906,0.0004315574615,1.000895247846772,0.9612612216704117
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},10_15,0.6729478768,0.0003131885395,0.6751245633,0.0001875984163,1.0032345543764112,5.962288982369967
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},15_20,0.6133299261,0.0002463562249,0.6152774874,0.0004075283674,1.003175389324933,4.0897579803659845
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},20_25,0.5162597614,0.0005032989227,0.5199810189,0.000508814992,1.0072081106803845,5.199587311807192
