sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,25_30,"[25,30)",3,939430.0,93944040.0,-0.21356389846348955,0.00040855612815676924,-0.46212974202434703
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,30_35,"[30,35)",1,486003.0,62704582.0,-0.4257899812908409,0.00034901927204745054,-0.6525258472205073
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,30_35,"[30,35)",2,486003.0,62704582.0,0.2446009766269553,0.0005552768344993215,0.49457150810267597
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,30_35,"[30,35)",3,486003.0,62704582.0,-0.13307321782848341,0.0003113221607963551,-0.3647920199627226
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,35_40,"[35,40)",1,201347.0,32041486.0,-0.3500070681762075,0.000954045471342174,-0.5916139519789975
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,35_40,"[35,40)",2,201347.0,32041486.0,0.17153496824029948,0.0009057965246163368,0.4141678020323399
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,35_40,"[35,40)",3,201347.0,32041486.0,-0.07730891917200719,0.0005899479104255217,-0.2780448150424805
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,40_999,"[40,inf)",1,91050.0,18045922.0,-0.26847939879841,0.0014228244516408422,-0.5181499771286399
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,40_999,"[40,inf)",2,91050.0,18045922.0,0.10589815825342701,0.0013235637957973029,0.32541997211822604
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,standard,40_999,"[40,inf)",3,91050.0,18045922.0,-0.037434851100869214,0.0010206616481577841,-0.19348088045300293
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,486003.0,66969722.0,-0.16356418055087643,0.000391690977795795,-0.40443068695497925
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,486003.0,66969722.0,0.07788448407861093,0.00037806468992512414,0.27907791757609723
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,486003.0,66969722.0,-0.031631061600345296,0.00022092746697572281,-0.1778512344639342
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,201347.0,41620030.0,-0.12489890345100663,0.0004638331830281251,-0.3534103895629083
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,201347.0,41620030.0,0.057007788860651956,0.0006915046540049362,0.23876303914268632
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,201347.0,41620030.0,-0.02157259323428407,0.0003632723842098373,-0.14687611526141364
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,67202.0,19794232.0,-0.09370476443541735,0.0006728743528988968,-0.30611233956738393
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,67202.0,19794232.0,0.04104219920012557,0.0009165667621100972,0.20258874401142224
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,67202.0,19794232.0,-0.013575776955958687,0.0003568032533617483,-0.11651513616676026
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,18725.0,7472872.0,-0.06770148628900642,0.0008602548132608658,-0.26019509274582103
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,18725.0,7472872.0,0.029612546655999196,0.00133290154512544,0.17208296445609947
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,18725.0,7472872.0,-0.008820245449013445,0.0005538359101717787,-0.09391616180942151
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,5123.0,2763482.0,-0.046011440728645964,0.0014707407793191547,-0.21450277557329175
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,5123.0,2763482.0,0.023221715114492513,0.0031460057522543785,0.1523867288004192
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,5123.0,2763482.0,-0.005813678377193338,0.0010503315667201216,-0.07624748112031858
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,0_10,"[0,10)",1,62665.0,372468.0,-0.20255789019956075,0.0019449574778508203,-0.45006431784752804
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,0_10,"[0,10)",2,62665.0,372468.0,0.0883776504909952,0.001879614681359049,0.29728378780383435
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,0_10,"[0,10)",3,62665.0,372468.0,-0.033904014340227884,0.0015163903993438475,-0.18413042752415443
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,10_15,"[10,15)",1,561231.0,7764622.0,-0.22356260391323624,0.0003918572901506242,-0.4728240728994625
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,10_15,"[10,15)",2,561231.0,7764622.0,0.10405904190024962,0.0005601080561309841,0.3225818375238284
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,10_15,"[10,15)",3,561231.0,7764622.0,-0.04450401001344303,0.0005281792379350249,-0.21095973552657632
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,15_20,"[15,20)",1,1291430.0,36028554.0,-0.24248572924306092,0.0002988963667894001,-0.49242840011829225
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,15_20,"[15,20)",2,1291430.0,36028554.0,0.11929106817470388,0.00030147848372126345,0.34538539079512887
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,15_20,"[15,20)",3,1291430.0,36028554.0,-0.053390863928316414,0.00019996099677964022,-0.2310646314958575
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,20_25,"[20,25)",1,1366844.0,70402814.0,-0.2368903708701189,0.00019513309121199448,-0.48671384906340903
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,20_25,"[20,25)",2,1366844.0,70402814.0,0.1187678059803263,0.00024678334645339303,0.34462705346551986
