sample,shoving_setting,axis,observable_type,case,gap_value,multiplicity_bin,multiplicity_bin_text,block,number_of_events,number_of_valid_pairs,numerator
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,0_10,"[0,10)",11,3906,230234,137509.768813
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,10_15,"[10,15)",11,34907,5134052,3124435.38289
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,15_20,"[15,20)",11,79939,22309148,12779348.4082
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,20_25,"[20,25)",11,85740,39499208,20197849.922
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,25_30,"[25,30)",11,58944,40837104,18080803.3735
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,30_35,"[30,35)",11,30707,29902226,11189631.9117
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,35_40,"[35,40)",11,12566,16412588,5187647.22477
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,40_999,"[40,inf)",11,5791,10565324,2669821.05501
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,0_10,"[0,10)",11,3906,103564,6406.44976043
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,10_15,"[10,15)",11,34907,2065324,189106.824271
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,15_20,"[15,20)",11,79939,9577984,1187679.56785
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,20_25,"[20,25)",11,85740,19272234,2988241.86592
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,25_30,"[25,30)",11,58944,22463110,3854631.15937
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,30_35,"[30,35)",11,30707,18088196,3147261.1088
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,35_40,"[35,40)",11,12566,10627212,1753718.11903
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,40_999,"[40,inf)",11,5791,7277574,1096359.61671
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,0_10,"[0,10)",11,3906,18382,12102.3893423
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,10_15,"[10,15)",11,34907,463586,295783.097154
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,15_20,"[15,20)",11,79939,2340922,1387686.30872
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,20_25,"[20,25)",11,85740,4778280,2529985.18919
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,25_30,"[25,30)",11,58944,5599114,2608561.32238
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,30_35,"[30,35)",11,30707,4482342,1786462.70998
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,35_40,"[35,40)",11,12566,2628792,915097.47042
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,40_999,"[40,inf)",11,5791,1814778,520521.220348
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,0_10,"[0,10)",11,3906,4126,1413.49742972
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,10_15,"[10,15)",11,34907,121366,41333.6427163
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,15_20,"[15,20)",11,79939,768748,270445.016796
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,20_25,"[20,25)",11,85740,1968932,684973.147408
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,25_30,"[25,30)",11,58944,2690672,888123.694995
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,30_35,"[30,35)",11,30707,2414654,728695.908131
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,35_40,"[35,40)",11,12566,1515128,410083.042406
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,40_999,"[40,inf)",11,5791,1103096,263140.682719
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,0_10,"[0,10)",11,3906,99978,50078.5900459
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,10_15,"[10,15)",11,34907,1947146,1017523.0404
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,15_20,"[15,20)",11,79939,7750350,3732217.94862
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,20_25,"[20,25)",11,85740,12900664,5267092.81577
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,25_30,"[25,30)",11,58944,12837956,4216157.98487
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,30_35,"[30,35)",11,30707,9016422,2223766.46143
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,35_40,"[35,40)",11,12566,4820090,888899.492891
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,40_999,"[40,inf)",11,5791,2895314,355990.715369
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,0_10,"[0,10)",11,3906,81658,3146.64515683
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,10_15,"[10,15)",11,34907,1562408,89509.6798811
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,15_20,"[15,20)",11,79939,6791970,492224.372906
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,20_25,"[20,25)",11,85740,12656646,1021112.07455
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,25_30,"[25,30)",11,58944,13751118,1093564.42581
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,30_35,"[30,35)",11,30707,10500648,755728.236222
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,35_40,"[35,40)",11,12566,5936640,349115.07896
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,40_999,"[40,inf)",11,5791,3930880,198464.989081
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,0_10,"[0,10)",11,3906,73694,37323.0543501
